ServingCell_RSRP,ServingCell_RSRQ,ServingCell_PCI,Neighbor1_RSRP,Neighbor1_RSRQ,Neighbor1_PCI,Neighbor1_IS_MOD3,SINR
-63,-12,235,-72,-22,234,0,10.3
-63,-12,235,-79,-27,157,0,11
-66,-12,235,-73,-22,234,0,6.9
-67,-12,235,-80,-22,236,0,5.3
-68,-12,235,-79,-22,236,0,6.4
-75,-12,236,-77,-16,235,0,1
-74,-14,236,-80,-17,235,0,1.6
-79,-13,236,-86,-18,235,0,5.3
-70,-9,143,-73,-13,142,0,7.9
-69,-10,143,-72,-15,142,0,1.7
-70,-10,143,-75,-12,142,0,5.8
-67,-5,60,-84,-20,143,0,18.2
-67,-5,60,-87,-23,143,0,19.2
-67,-5,60,-87,-23,143,0,19.3
-67,-5,60,-86,-22,143,0,19.2
-67,-5,60,-87,-24,143,0,20.1
-85,-9,61,-92,-22,258,0,9
-81,-7,61,-91,-16,79,0,7.6
-80,-6,61,-90,-13,79,0,8.9
-79,-6,79,-92,-17,258,0,11.9
-79,-6,79,-90,-18,61,0,12
-81,-8,79,-89,-15,258,0,10.9
-77,-8,51,-94,-22,292,0,9.5
-76,-7,51,-96,-25,251,0,10.9
-74,-7,51,-86,-18,258,0,11.5
-75,-7,51,-90,-21,250,0,10.1
-75,-8,51,-92,-23,250,0,8.3
-72,-8,51,-90,-26,250,0,8
-69,-7,51,-86,-22,250,0,11.4
-67,-7,51,-86,-24,250,0,13.9
-67,-7,51,-85,-23,250,0,11.2
-66,-7,51,-85,-24,250,0,13.3
-66,-7,51,-86,-24,250,0,17.2
-68,-7,51,-87,-23,250,0,17.4
-71,-7,51,-88,-23,250,0,14.3
-71,-7,51,-88,-24,184,0,14.4
-72,-7,51,-88,-23,184,0,14.5
-72,-7,51,-90,-24,250,0,13.9
-73,-7,51,-84,-18,184,0,11.9
-75,-8,51,-88,-19,184,0,9.7
-75,-8,51,-80,-15,184,0,10
-75,-10,258,-78,-13,51,1,0.4
-79,-6,79,-91,-17,258,0,11.4
-78,-6,79,-95,-23,61,0,11.8
-78,-6,79,-93,-20,61,0,11.4
-78,-6,79,-91,-19,61,0,11.9
-77,-7,79,-92,-25,80,0,10.9
-74,-7,79,-87,-18,61,0,10.7
-80,-6,61,-94,-20,25,0,9.4
-75,-6,61,-92,-20,25,0,14.7
-76,-6,61,-93,-20,25,0,14.3
-77,-6,61,-88,-19,79,0,11.7
-79,-6,61,-90,-18,60,0,14.3
-79,-6,61,-90,-17,60,0,13.7
-70,-6,61,-88,-23,60,0,18.2
-69,-6,61,-80,-23,60,0,18.6
-69,-6,61,-92,-22,60,0,18.4
-62,-13,183,-72,-23,184,0,20.2
-63,-13,183,-76,-22,184,0,19.8
-69,-13,183,-80,-22,184,0,16.4
-69,-13,234,-71,-16,236,0,7.6
-70,-13,234,-71,-14,236,0,6.7
-71,-14,234,-71,-12,236,0,6.2
-69,-13,236,-72,-15,234,0,0.5
-85,-11,236,-91,-19,234,0,2.2
-85,-13,236,-92,-22,234,0,3.8
-85,-13,236,-96,-23,234,0,3.9
-84,-8,236,-94,-24,143,0,5.3
-82,-8,236,-92,-23,11,0,7.9
-83,-8,236,-91,-23,11,0,7.5
-86,-8,236,-95,-21,11,0,5.3
-78,-6,236,-86,-21,183,0,12
-81,-7,236,-94,-24,143,0,9.5
-80,-11,236,-94,-24,143,0,10.3
-74,-12,236,-82,-25,143,0,14.6
-73,-12,236,-88,-26,11,0,15.2
-73,-13,236,-87,-27,11,0,15.3
-70,-12,236,-85,-22,11,0,15.3
-70,-6,236,-86,-23,143,0,13.6
-77,-7,60,-88,-18,61,0,7.7
-78,-8,60,-89,-18,61,0,7.7
-82,-20,60,-67,-8,183,1,-7.6
-82,-19,183,-85,-21,60,1,-7.2
-79,-13,183,-84,-14,60,0,4.1
-82,-15,183,-84,-13,60,1,0.8
-74,-8,60,-89,-17,143,0,10.6
-74,-9,60,-89,-24,62,0,9.4
-74,-12,143,-77,-16,142,0,-0.5
-76,-12,143,-78,-16,142,0,0.7
-86,-17,143,-88,-18,236,1,-3.7
-77,-13,142,-81,-15,143,0,5.1
-73,-11,143,-76,-15,142,0,2.5
-76,-13,236,-78,-11,231,0,7.4
-71,-9,86,-71,-9,85,0,8.8
-71,-8,85,-72,-12,86,0,9.9
-70,-7,86,-74,-13,85,0,11.7
-71,-6,86,-82,-19,85,0,16.3
-68,-6,86,-78,-17,85,0,17.8
-68,-6,86,-81,-21,85,0,17.5
-68,-6,86,-84,-24,85,0,17.9
-73,-6,86,-85,-19,85,0,13.3
-75,-6,86,-85,-21,218,0,12.6
-75,-7,86,-87,-20,218,0,10.6
-71,-6,96,-83,-18,216,0,15.4
-74,-6,96,-88,-17,216,0,15.2
-77,-6,96,-94,-20,216,0,13.3
-78,-6,95,-98,-26,216,0,13.3
-74,-6,95,-83,-16,216,0,15.4
-68,-6,95,-83,-22,216,0,17.4
-65,-5,95,-81,-21,216,0,18.6
-64,-5,95,-84,-24,216,0,20.3
-61,-5,95,-83,-26,216,0,23.3
-60,-5,95,-83,-26,216,0,23.7
-59,-5,95,-79,-26,94,0,23.4
-59,-5,95,-77,-26,94,0,22.7
-56,-5,95,-78,-26,216,0,24
-54,-5,95,-75,-26,94,0,24.5
-50,-5,95,-69,-25,94,0,25.8
-52,-5,95,-71,-24,94,0,24.8
-56,-5,95,-74,-25,94,0,22.4
-57,-6,95,-74,-25,94,0,20.8
-60,-5,95,-70,-16,94,0,19
-61,-7,95,-74,-17,94,0,13.6
-61,-7,95,-72,-16,94,0,15.3
-63,-7,95,-71,-15,94,0,13.2
-61,-9,95,-64,-11,94,0,11.5
-61,-9,94,-66,-12,95,0,12.1
-59,-6,94,-71,-16,95,0,16.6
-60,-6,94,-67,-15,95,0,16.5
-59,-6,94,-70,-20,95,0,18.6
-56,-5,94,-70,-21,95,0,21.9
-55,-5,94,-75,-25,95,0,22.8
-56,-5,94,-71,-24,267,0,22.7
-53,-5,94,-73,-27,267,0,22.4
-52,-5,94,-64,-20,267,0,23.5
-59,-6,94,-75,-21,267,0,16.8
-58,-6,94,-72,-20,267,0,15
-59,-11,267,-61,-11,94,0,5.7
-58,-7,267,-68,-17,94,0,14.1
-58,-5,267,-74,-26,94,0,21.9
-56,-5,267,-74,-24,94,0,24.7
-57,-5,267,-72,-24,94,0,23.8
-54,-5,267,-71,-24,94,0,24.8
-56,-5,267,-75,-25,449,0,20.6
-55,-5,267,-74,-26,269,0,20.5
-55,-5,267,-74,-26,269,0,18.8
-53,-5,267,-70,-27,135,0,20.8
-53,-5,267,-80,-30,135,0,20.6
-53,-5,267,-75,-26,269,0,24.1
-54,-5,267,-73,-26,269,0,22.9
-53,-5,267,-69,-25,268,0,23.2
-55,-5,267,-75,-26,268,0,24.3
-56,-5,267,-76,-23,269,0,22.1
-62,-7,267,-76,-21,268,0,14.1
-64,-7,267,-68,-10,268,0,13
-66,-9,267,-76,-19,268,0,9.5
-64,-11,267,-65,-10,268,0,6.4
-59,-6,268,-77,-23,267,0,21.7
-58,-6,268,-69,-24,267,0,22.9
-53,-6,268,-73,-24,77,0,28.5
-57,-7,268,-77,-23,267,0,25.4
-59,-6,268,-79,-23,267,0,24.7
-60,-6,268,-80,-23,267,0,22.2
-66,-7,268,-84,-24,267,0,18.9
-66,-7,268,-83,-25,135,0,16.7
-68,-9,268,-79,-18,135,0,12.8
-68,-10,268,-80,-19,135,0,10.2
-70,-8,268,-83,-18,135,0,12.1
-72,-8,268,-87,-24,135,0,12.2
-72,-9,268,-89,-26,135,0,10.3
-74,-8,268,-88,-24,135,0,9.2
-79,-9,268,-78,-12,135,0,5.5
-77,-9,135,-94,-25,77,0,4.6
-67,-9,135,-69,-13,136,0,7
-62,-9,237,-62,-9,238,0,7.9
-59,-9,237,-59,-12,238,0,7.8
-62,-6,237,-75,-19,252,0,15.2
-61,-6,237,-71,-16,252,0,13.3
-58,-5,237,-72,-19,252,0,18.5
-59,-5,237,-74,-18,252,0,18.7
-60,-6,237,-74,-19,252,0,16.9
-57,-5,237,-74,-19,252,0,20.3
-61,-5,237,-81,-28,20,0,20.1
-62,-5,237,-76,-21,252,0,17.6
-59,-5,237,-77,-21,252,0,19.8
-59,-5,237,-74,-20,252,0,20.6
-61,-5,237,-79,-21,252,0,19.8
-66,-6,237,-80,-18,72,0,11.7
-70,-7,237,-85,-20,252,0,8.5
-68,-6,237,-81,-21,252,0,14.4
-73,-6,237,-87,-20,252,0,10.7
-69,-6,72,-86,-19,24,0,11.9
-71,-6,72,-86,-20,252,0,13.1
-77,-8,72,-94,-23,252,0,5.3
-77,-8,72,-92,-23,252,0,5.3
-66,-8,74,-70,-13,73,0,12.8
-66,-7,74,-79,-22,73,0,14.1
-63,-7,74,-84,-28,73,0,16.6
-61,-7,74,-75,-19,73,0,16.7
-63,-7,74,-77,-18,73,0,18
-69,-7,74,-89,-27,73,0,17.5
-72,-7,74,-83,-18,73,0,16.5
-69,-7,74,-88,-24,73,0,18.9
-70,-7,74,-91,-26,73,0,19.5
-72,-7,74,-88,-23,264,0,16.6
-71,-6,231,-81,-17,264,0,10.5
-64,-6,231,-79,-24,233,0,17.9
-69,-8,143,-80,-17,142,0,14.2
-70,-6,123,-75,-13,124,0,14.1
-68,-6,123,-72,-17,124,0,13.9
-67,-7,123,-73,-13,124,0,12.2
-71,-8,123,-71,-10,124,0,11.4
-70,-9,123,-68,-12,124,0,11.4
-68,-9,123,-73,-15,124,0,10.4
-64,-7,123,-68,-13,124,0,15.3
-69,-11,124,-71,-16,123,0,6.4
-62,-5,124,-75,-21,123,0,19.5
-61,-5,124,-78,-19,123,0,20.5
-61,-5,124,-70,-19,123,0,19.6
-64,-6,124,-76,-21,123,0,17.5
-67,-5,124,-76,-19,123,0,15.9
-66,-6,124,-75,-20,123,0,16.3
-66,-6,124,-75,-15,125,0,15.8
-68,-8,124,-71,-12,125,0,12.1
-68,-9,125,-76,-15,124,0,10.5
-57,-7,125,-67,-22,124,0,20.2
-55,-7,125,-71,-21,124,0,21.1
-58,-6,125,-73,-19,124,0,20.5
-61,-7,125,-71,-20,124,0,17
-63,-8,125,-75,-17,124,0,16.1
-73,-8,255,-74,-13,125,0,7.8
-69,-6,255,-87,-23,205,0,12.7
-59,-5,255,-80,-26,256,0,20.7
-55,-5,255,-69,-19,201,0,20.7
-54,-5,255,-68,-20,201,0,21.5
-51,-5,255,-64,-18,201,0,24.3
-52,-5,255,-65,-20,201,0,23.9
-53,-5,255,-72,-24,143,0,20.7
-49,-5,255,-72,-24,143,0,25.7
-55,-5,255,-68,-21,201,0,23.3
-53,-5,255,-74,-24,257,0,23.1
-57,-5,255,-68,-18,257,0,20
-66,-8,257,-75,-19,255,0,12.6
-61,-6,257,-76,-24,201,0,18.9
-55,-5,257,-75,-27,255,0,23
-51,-5,257,-75,-27,201,0,28.3
-57,-5,257,-75,-23,121,0,22.7
-57,-5,257,-75,-22,121,0,20.6
-61,-5,257,-77,-19,121,0,19.2
-62,-6,257,-80,-26,121,0,21
-70,-9,257,-72,-10,121,0,9.5
-69,-8,244,-82,-18,121,0,8.6
-68,-7,244,-89,-28,121,0,9.4
-68,-8,244,-75,-12,121,0,6.1
-73,-8,244,-74,-11,121,1,6.4
-73,-8,244,-83,-19,121,0,5.7
-73,-8,244,-74,-11,121,1,5.8
-73,-8,244,-75,-12,121,1,6.8
-73,-8,244,-80,-11,121,0,5.7
-72,-8,244,-79,-11,121,0,6
-72,-8,244,-80,-11,121,0,5.8
-72,-8,244,-76,-9,121,0,5.7
-73,-10,244,-76,-10,121,1,0.9
-73,-9,244,-76,-12,257,0,3.9
-73,-8,244,-82,-15,121,0,3.5
-74,-9,244,-81,-15,100,0,4.1
-73,-9,244,-80,-14,100,0,5.3
-73,-9,244,-80,-15,100,0,5.2
-73,-9,244,-82,-17,100,0,5.4
-73,-9,244,-88,-22,121,0,5.3
-74,-8,244,-87,-22,121,0,5.1
-74,-9,244,-79,-14,100,0,4.8
-73,-8,244,-77,-15,100,0,5.2
-74,-9,244,-73,-11,121,1,2.6
-77,-14,121,-73,-16,244,1,-4.7
-73,-10,121,-75,-12,244,1,1.6
-70,-8,121,-74,-12,244,0,4.5
-72,-8,121,-78,-13,244,0,5
-68,-7,121,-75,-16,244,0,7.2
-66,-6,121,-78,-17,244,0,8.9
-61,-7,244,-70,-21,245,0,8.7
-61,-7,245,-73,-20,121,0,15.2
-58,-7,245,-71,-21,121,0,18.4
-59,-6,245,-74,-24,244,0,19.4
-55,-6,245,-72,-25,121,0,24.9
-59,-6,245,-82,-24,121,0,22.6
-68,-7,245,-77,-19,121,0,14
-65,-6,245,-75,-16,121,0,16.7
-67,-7,245,-69,-12,121,0,14.2
-71,-8,245,-79,-16,121,0,11.1
-70,-5,121,-81,-23,120,0,15.7
-68,-5,121,-83,-24,120,0,19.2
-65,-5,121,-87,-20,120,0,20.8
-62,-5,121,-79,-23,120,0,22.5
-64,-5,121,-82,-24,120,0,20
-59,-5,121,-72,-23,120,0,21.9
-60,-6,121,-67,-14,120,0,19.5
-65,-6,121,-72,-12,120,0,16.9
-66,-7,121,-71,-15,120,0,13.3
-68,-8,121,-72,-16,120,0,11.9
-63,-8,121,-67,-12,120,0,10.3
-65,-10,121,-67,-11,120,0,9.1
-67,-9,120,-69,-11,121,0,10.9
-63,-7,120,-67,-16,121,0,15.9
-62,-8,120,-66,-10,121,0,14.8
-60,-8,120,-62,-8,121,0,12.5
-59,-8,120,-62,-10,121,0,13.8
-61,-9,120,-62,-10,121,0,13.3
-61,-9,120,-62,-10,121,0,13.2
-61,-8,120,-62,-10,121,0,13.2
-61,-8,120,-62,-9,121,0,13.2
-61,-8,120,-62,-10,121,0,13.2
-61,-8,120,-62,-10,121,0,13
-62,-9,120,-62,-9,121,0,12.9
-62,-9,120,-62,-9,121,0,12.7
-62,-9,120,-63,-9,121,0,12.7
-63,-9,120,-62,-8,121,0,12.3
-62,-9,120,-62,-9,121,0,11.9
-62,-9,120,-63,-9,121,0,12.4
-62,-9,120,-63,-10,121,0,12.8
-62,-9,120,-62,-9,121,0,13
-62,-9,120,-62,-9,121,0,12.9
-62,-9,120,-62,-9,121,0,12.9
-62,-9,120,-62,-9,121,0,12.7
-61,-12,120,-64,-16,121,0,13.1
-62,-8,120,-63,-10,121,0,13.2
-62,-8,120,-64,-10,121,0,14
-62,-8,120,-64,-10,121,0,14.2
-62,-8,120,-64,-10,121,0,14.2
-61,-8,120,-64,-10,121,0,14.1
-58,-7,120,-66,-15,121,0,16.6
-62,-7,120,-78,-24,122,0,19.1
-60,-7,120,-75,-27,122,0,16.9
-59,-10,120,-72,-22,122,0,20.5
-55,-7,120,-67,-20,122,0,26.9
-58,-7,120,-73,-23,121,0,24.9
-63,-7,120,-82,-23,121,0,22.8
-67,-7,120,-79,-19,121,0,20.1
-68,-8,120,-80,-13,121,0,17.9
-73,-8,120,-87,-23,121,0,14.8
-74,-10,120,-79,-11,121,0,11.2
-80,-12,120,-82,-11,121,0,5.4
-74,-7,121,-84,-18,120,0,13.9
-75,-7,121,-85,-18,120,0,12.4
-73,-7,121,-88,-27,120,0,15.4
-90,-13,120,-87,-8,289,0,2.5
-89,-12,289,-94,-17,120,0,2.8
-83,-6,289,-94,-14,120,0,10.1
-83,-6,289,-96,-18,120,0,9.8
-94,-12,110,-94,-15,109,0,1.7
-91,-9,110,-97,-18,109,0,3.2
-91,-11,110,-97,-19,192,0,1.6
-77,-6,192,-86,-19,193,0,14
-72,-6,192,-80,-18,193,0,16.4
-74,-6,192,-80,-23,110,0,16.6
-76,-6,192,-87,-22,193,0,14.8
-78,-6,192,-80,-15,193,0,15.6
-78,-6,192,-91,-20,193,0,14.3
-79,-7,192,-77,-10,193,0,14
-74,-7,192,-79,-17,193,0,12
-76,-7,192,-82,-17,193,0,13
-76,-7,192,-86,-18,193,0,13.7
-79,-7,192,-83,-16,193,0,11.2
-78,-7,192,-89,-23,4,0,10.2
-79,-7,192,-82,-13,193,0,9.5
-76,-7,192,-82,-18,193,0,12.6
-70,-6,192,-78,-15,193,0,14
-70,-7,192,-77,-20,193,0,13.6
-68,-6,192,-77,-14,193,0,14.7
-69,-6,192,-76,-15,193,0,16.9
-72,-6,192,-82,-16,193,0,13.7
-71,-7,192,-71,-12,193,0,12.6
-68,-7,192,-75,-12,193,0,13.5
-74,-8,192,-78,-12,4,0,10.4
-74,-9,192,-77,-11,4,0,8.3
-68,-6,4,-85,-22,192,0,14.7
-76,-7,5,-84,-16,4,0,8.5
-68,-6,5,-78,-21,4,0,14.3
-65,-5,5,-80,-22,4,0,18
-68,-6,5,-83,-23,4,0,15.9
-69,-6,5,-84,-26,81,0,15.9
-68,-6,5,-86,-25,4,0,16.3
-69,-7,5,-79,-17,83,0,7.2
-64,-8,5,-72,-15,83,0,6.1
-62,-9,5,-69,-11,83,0,5.1
-66,-8,5,-71,-11,83,0,6.6
-67,-10,5,-76,-17,83,0,7.2
-70,-10,5,-70,-10,83,1,2.5
-72,-12,5,-66,-8,83,1,0
-69,-11,83,-75,-14,5,0,5.9
-63,-8,83,-77,-21,81,0,13.3
-65,-8,83,-78,-18,5,0,10.9
-65,-11,83,-81,-19,5,0,10.1
-70,-9,83,-72,-14,5,1,7.1
-70,-8,83,-87,-20,5,0,6.1
-77,-9,281,-84,-16,279,0,5.8
-68,-11,281,-78,-22,279,0,10.5
-68,-7,281,-78,-23,279,0,10.7
-68,-7,281,-78,-18,279,0,13.3
-67,-7,281,-76,-16,279,0,14.7
-67,-7,281,-81,-19,191,0,15.3
-67,-7,281,-77,-18,279,0,16.2
-67,-7,281,-77,-17,279,0,16.6
-67,-7,281,-76,-17,279,0,15.7
-67,-7,281,-76,-16,279,0,15.5
-67,-8,281,-78,-17,279,0,13.3
-69,-8,281,-79,-17,279,0,11.6
-69,-8,281,-80,-18,279,0,12.3
-69,-8,281,-79,-16,279,0,11.7
-69,-8,281,-79,-16,279,0,11.7
-69,-8,281,-79,-16,279,0,11.8
-70,-8,281,-79,-16,279,0,11.7
-70,-7,281,-80,-17,279,0,11.9
-70,-8,281,-78,-14,279,0,10.1
-69,-8,281,-78,-16,279,0,11.4
-69,-8,281,-79,-21,279,0,11.9
-69,-12,281,-76,-18,279,0,11.9
-68,-12,281,-75,-22,279,0,13.1
-68,-11,281,-79,-23,279,0,13.3
-67,-7,281,-81,-22,279,0,14.9
-68,-7,281,-81,-16,279,0,15
-72,-8,281,-84,-21,279,0,10.4
-75,-9,279,-74,-12,281,0,7.8
-72,-7,279,-79,-13,281,0,9.1
-60,-5,40,-79,-25,41,0,16
-63,-6,40,-78,-19,280,0,14.7
-61,-6,40,-77,-21,280,0,16.8
-62,-6,40,-73,-21,280,0,15.5
-61,-11,40,-86,-29,280,0,17
-64,-12,40,-67,-21,280,1,14.4
-62,-12,40,-67,-21,280,0,18.5
-60,-12,40,-73,-24,280,0,18
-59,-6,40,-73,-18,280,0,19.1
-62,-6,40,-80,-17,280,0,18.4
-62,-5,40,-71,-17,280,0,16.6
-62,-5,40,-66,-15,280,0,19.6
-61,-5,40,-71,-16,280,0,19.7
-62,-5,40,-83,-27,280,0,19.3
-60,-5,40,-81,-26,280,0,17.6
-63,-6,40,-84,-27,280,0,19.4
-64,-6,40,-79,-20,280,0,16.4
-66,-5,40,-83,-21,280,0,15
-68,-6,40,-87,-24,280,0,13.8
-68,-6,40,-82,-16,280,0,14
-70,-6,40,-86,-17,280,0,9.7
-72,-9,40,-82,-24,280,0,10.7
-76,-7,40,-85,-17,280,0,10.6
-67,-7,221,-75,-21,219,0,19
-60,-6,221,-72,-13,219,0,22.9
-56,-6,221,-66,-23,279,0,25.1
-53,-6,221,-78,-24,219,0,27.9
-61,-6,221,-81,-26,219,0,21.9
-67,-7,221,-73,-13,219,0,18.9
-69,-7,221,-77,-13,219,0,14.5
-69,-8,221,-71,-16,219,0,13.4
-70,-9,221,-71,-11,219,0,9.5
-63,-8,221,-63,-10,219,0,13.2
-64,-8,221,-66,-8,219,0,11.6
-71,-11,221,-67,-9,219,0,6.1
-68,-6,219,-74,-15,221,0,16.8
-68,-6,219,-80,-17,221,0,15.8
-66,-6,219,-73,-23,221,0,18
-66,-6,219,-75,-15,221,0,17.8
-68,-6,219,-73,-21,221,0,17
-75,-12,87,-83,-15,88,0,14.3
-74,-13,87,-79,-22,89,0,14
-72,-13,87,-80,-22,104,0,15.3
-71,-13,87,-87,-22,89,0,16.1
-72,-14,87,-81,-22,89,0,14
-71,-14,87,-78,-22,89,0,14.5
-72,-6,87,-82,-10,30,0,13.3
-75,-13,87,-83,-21,220,0,10.5
-73,-13,87,-82,-23,220,0,10.4
-76,-13,87,-85,-23,220,0,9.5
-77,-13,87,-87,-21,89,0,10.2
-77,-12,87,-87,-23,89,0,12.3
-77,-13,87,-88,-24,89,0,9.4
-77,-12,87,-88,-23,89,0,10.8
-77,-13,87,-81,-17,30,0,10.1
-77,-13,87,-81,-17,30,0,8.9
-77,-13,87,-85,-22,30,0,8.7
-77,-13,87,-86,-22,88,0,10.3
-77,-11,87,-83,-11,30,0,10.6
-77,-7,87,-84,-11,30,0,9.3
-77,-7,87,-82,-11,30,0,9.6
-77,-7,87,-83,-10,30,0,9.9
-76,-6,87,-83,-10,30,0,10.7
-77,-8,87,-83,-13,30,0,8.6
-77,-5,87,-83,-9,30,0,16.3
-77,-5,87,-94,-16,220,0,16.9
-77,-7,87,-94,-17,220,0,14.4
-76,-5,87,-91,-18,220,0,17.1
-75,-5,87,-94,-16,220,0,16
-75,-5,87,-89,-23,89,0,17.8
-76,-11,87,-83,-21,88,0,17.2
-76,-5,87,-83,-10,30,0,17.1
-76,-6,87,-81,-9,30,0,16.8
-76,-6,87,-83,-10,30,0,14
-76,-6,87,-82,-9,30,0,16.9
-73,-5,87,-82,-9,30,0,18.7
-70,-5,87,-90,-26,89,0,21.1
-67,-6,87,-83,-23,0,0,23.2
-66,-5,87,-92,-16,189,0,24.9
-66,-12,87,-77,-24,220,0,22.9
-69,-12,87,-82,-22,189,0,21.4
-72,-12,87,-79,-22,30,0,19.5
-70,-12,87,-80,-22,89,0,20.5
-70,-5,87,-85,-23,0,0,21.4
-68,-5,87,-81,-9,30,0,20
-67,-6,87,-91,-30,89,0,19
-68,-5,87,-81,-14,30,0,18.6
-67,-6,87,-86,-22,0,0,19.5
-64,-5,87,-75,-7,189,0,20.7
-72,-10,88,-77,-15,87,0,6.5
-68,-12,88,-79,-24,87,0,17.8
-66,-5,88,-91,-26,87,0,20.6
-68,-6,88,-86,-23,190,0,19.2
-70,-6,88,-88,-15,189,0,17.6
-68,-6,88,-84,-14,26,0,19
-68,-6,88,-96,-22,190,0,19.2
-69,-6,88,-82,-11,26,0,18.6
-79,-7,88,-100,-27,0,0,12.3
-81,-7,88,-89,-12,26,0,10.9
-78,-6,88,-84,-12,26,0,13.5
-62,-7,26,-81,-21,30,0,19.6
-62,-6,26,-76,-22,30,0,20.4
-62,-7,26,-79,-21,30,0,18.9
-61,-7,26,-70,-22,25,0,17.2
-56,-6,25,-67,-21,26,0,11.8
-68,-8,25,-74,-11,30,0,7.4
-67,-7,25,-73,-13,30,0,12
-67,-7,25,-74,-13,30,0,12.2
-56,-6,30,-72,-19,25,0,17.5
-60,-7,31,-72,-24,25,0,17.2
-61,-7,31,-73,-24,25,0,16.3
-61,-7,31,-74,-25,25,0,15.5
-64,-6,31,-78,-18,25,0,20.1
-65,-7,31,-80,-21,25,0,18
-64,-7,31,-80,-15,25,0,17.7
-64,-6,31,-75,-14,25,0,17.3
-68,-7,31,-77,-12,25,0,12.6
-68,-6,31,-81,-17,25,0,16.4
-75,-8,31,-84,-16,25,0,8.4
-70,-7,31,-84,-19,25,0,13.1
-66,-7,31,-83,-19,25,0,15.5
-70,-8,31,-82,-20,32,0,11.7
-70,-8,31,-84,-19,25,0,11.4
-68,-8,31,-74,-15,123,0,6.6
-70,-7,143,-84,-21,236,0,15.5
-68,-8,252,-73,-15,254,0,5.9
-68,-8,252,-72,-16,254,0,6.8
-68,-8,252,-72,-18,254,0,6.3
-68,-9,252,-73,-19,254,0,6
-68,-9,252,-70,-16,254,0,3.4
-68,-9,252,-70,-15,254,0,5.6
-68,-8,252,-74,-19,254,0,5.9
-67,-9,252,-75,-21,254,0,5.5
-67,-9,252,-70,-16,254,0,4.6
-67,-9,252,-79,-23,73,0,6.4
-67,-9,252,-72,-17,254,0,4.4
-73,-9,237,-78,-12,252,0,4.2
-65,-7,72,-80,-16,252,0,13
-65,-6,237,-76,-20,72,0,12.4
-62,-5,237,-77,-19,252,0,18.6
-58,-5,237,-71,-19,72,0,21.2
-52,-5,237,-69,-20,252,0,24.8
-54,-5,237,-75,-23,141,0,24.4
-55,-5,237,-77,-22,141,0,23
-53,-5,237,-78,-23,136,0,24.2
-56,-5,237,-64,-22,136,0,21.6
-53,-5,237,-73,-26,136,0,24.3
-54,-5,237,-77,-28,136,0,23.2
-55,-5,237,-73,-24,239,0,22.6
-57,-5,237,-75,-21,252,0,19.8
-60,-6,237,-80,-24,252,0,17
-58,-6,237,-75,-21,252,0,16.9
-60,-6,237,-73,-16,252,0,13
-61,-7,238,-69,-14,237,0,10.8
-59,-6,238,-64,-14,237,0,11.7
-58,-6,238,-70,-19,237,0,13.1
-64,-7,238,-70,-15,237,0,8
-69,-7,136,-77,-18,238,0,10.3
-66,-6,136,-84,-24,237,0,11.3
-66,-6,136,-77,-18,238,0,9.6
-64,-6,136,-69,-13,238,0,10.7
-64,-6,136,-74,-18,237,0,12
-63,-6,136,-80,-26,237,0,13.3
-64,-6,136,-77,-22,238,0,12.5
-65,-6,136,-81,-22,135,0,13.8
-64,-6,136,-84,-24,135,0,15
-63,-6,136,-85,-29,135,0,15.7
-61,-5,136,-80,-23,135,0,16.5
-59,-6,136,-71,-15,135,0,17.5
-64,-6,136,-75,-18,135,0,13.9
-62,-6,136,-78,-25,135,0,16.7
-61,-6,136,-73,-17,135,0,17.9
-63,-6,136,-68,-13,135,0,15.2
-63,-6,136,-67,-9,135,0,13.6
-64,-8,136,-67,-10,135,0,11.5
-64,-9,136,-70,-12,135,0,10.2
-68,-9,136,-67,-9,135,0,8.9
-67,-8,136,-64,-7,135,0,10.3
-66,-8,136,-67,-8,135,0,10.2
-67,-9,136,-68,-7,135,0,9.3
-66,-11,135,-71,-22,119,0,13
-61,-11,135,-73,-24,119,0,17.7
-66,-12,135,-78,-22,119,0,15.5
-70,-6,119,-77,-14,135,0,14.1
-74,-6,119,-87,-7,49,0,12.5
-72,-8,119,-79,-16,248,0,3.1
-71,-7,119,-78,-16,248,0,5.8
-71,-7,119,-80,-18,248,0,7.4
-71,-6,119,-79,-18,248,0,8.7
-71,-6,119,-86,-24,117,0,8.6
-72,-6,119,-83,-20,117,0,7.5
-71,-12,248,-92,-30,119,0,12.3
-70,-12,248,-82,-23,117,0,13.7
-68,-13,248,-81,-23,301,0,17.1
-68,-13,248,-73,-23,247,0,15.2
-68,-13,248,-70,-22,247,0,14.8
-67,-13,248,-78,-20,247,0,16.4
-67,-13,248,-73,-23,247,0,16.8
-66,-12,248,-82,-22,117,0,13.4
-65,-12,248,-72,-21,301,0,13.2
-65,-12,248,-73,-23,117,0,16.9
-60,-13,248,-67,-21,246,0,16.4
-61,-6,248,-69,-21,247,0,12.9
-60,-14,248,-68,-21,247,0,17.9
-60,-15,248,-69,-20,247,0,20.7
-61,-14,248,-72,-21,247,0,18.8
-63,-14,248,-71,-21,247,0,15.6
-63,-14,248,-80,-21,77,0,19.9
-64,-5,248,-78,-22,77,0,19
-65,-6,248,-85,-24,77,0,12.4
-65,-5,248,-76,-23,77,0,15.8
-65,-6,248,-74,-21,247,0,15.2
-65,-13,248,-73,-22,247,0,14.5
